Customer ID,Age,Gender,Location,Product Purchased,Purchase Amount,Date of Purchase,Customer Rating,Customer Segment,Num Purchases Last Year,Total Spend Last Year,Preferred Payment Method,Acquisition Channel,Last Interaction Date,Last Interaction Type
1844,42,Female,City_A,Product_2,986.5,2023-06-21,5,Gold,1,178.1,Cash,Referral,2023-02-03,Feedback
1845,59,Male,City_B,Product_4,369.48,2022-10-27,2,Silver,4,1915.39,Credit Card,Online Ad,2023-08-07,Feedback
1846,53,Female,City_B,Product_4,306.73,2022-08-26,2,Gold,6,2057.16,Cash,Referral,2023-01-28,Complaint
1847,44,Male,City_C,Product_5,203.01,2023-01-23,5,Gold,3,1048.91,Credit Card,Referral,2022-11-05,Feedback
1848,55,Female,City_D,Product_4,95.09,2023-03-16,1,Silver,13,3945.48,Credit Card,Referral,2023-05-27,Complaint
1849,24,Female,City_E,Product_5,218.16,2023-04-01,4,Gold,19,6474.47,Online Transfer,Online Ad,2023-06-26,Complaint
1850,22,Female,City_A,Product_4,320.28,2022-09-06,3,Silver,1,499.58,Cash,Online Ad,2022-09-05,Feedback
1851,60,Male,City_A,Product_1,421.51,2022-10-04,1,Bronze,13,5338.79,Cash,Online Ad,2023-05-13,Complaint
1852,62,Female,City_C,Product_2,154.23,2023-05-24,5,Bronze,2,480.27,Credit Card,Online Ad,2023-05-08,Complaint
1853,68,Male,City_C,Product_3,829.22,2023-02-19,5,Silver,11,1515.03,Credit Card,Referral,2023-04-16,Complaint
1854,48,Female,City_E,Product_2,638.09,2023-06-28,4,Silver,16,6223.85,Cash,Online Ad,2022-09-20,Feedback
1855,40,Female,City_E,Product_2,584.5,2022-10-14,2,Gold,11,4901.53,Credit Card,In-Store,2023-02-11,Feedback
1856,59,Male,City_E,Product_5,568.01,2022-09-03,3,Silver,1,285.23,Cash,Referral,2023-02-22,Complaint
1857,27,Male,City_C,Product_5,325.46,2023-05-28,3,Bronze,9,4190.18,Online Transfer,In-Store,2022-08-28,Feedback
1858,49,Female,City_D,Product_1,940.67,2023-02-10,3,Gold,7,2108.73,Cash,Referral,2023-05-19,Feedback
1859,60,Female,City_C,Product_3,270.15,2023-03-03,1,Bronze,18,2654.55,Credit Card,Referral,2023-06-25,Inquiry
1860,47,Male,City_C,Product_4,685.24,2022-09-07,5,Bronze,1,241.71,Credit Card,Referral,2023-01-19,Inquiry
1861,56,Female,City_A,Product_4,290.45,2022-08-16,3,Bronze,19,4555.19,Credit Card,Online Ad,2022-08-26,Inquiry
1862,48,Male,City_E,Product_2,990.14,2022-09-03,3,Gold,10,1283.88,Cash,In-Store,2022-09-05,Complaint
1863,35,Female,City_B,Product_1,916.08,2023-01-20,2,Bronze,13,4672.89,Cash,Referral,2023-02-02,Feedback
1864,53,Male,City_E,Product_3,301.33,2023-06-03,1,Bronze,18,7722.28,Credit Card,Referral,2023-08-01,Inquiry
1865,19,Male,City_D,Product_4,988.1,2022-10-08,5,Bronze,11,1584.18,Credit Card,In-Store,2023-02-18,Feedback
1866,31,Male,City_D,Product_2,644.66,2022-08-11,4,Silver,9,3560.0,Cash,Referral,2022-11-05,Complaint
1867,30,Male,City_E,Product_1,742.13,2023-06-26,2,Bronze,19,2196.17,Credit Card,In-Store,2022-12-22,Complaint
1868,46,Male,City_E,Product_3,318.77,2023-03-03,2,Gold,14,2792.38,Online Transfer,In-Store,2023-06-16,Feedback
1869,29,Female,City_C,Product_2,255.17,2022-10-26,2,Silver,8,3062.12,Credit Card,Referral,2022-08-22,Feedback
1870,56,Female,City_B,Product_2,865.17,2023-01-28,3,Bronze,17,3909.15,Cash,In-Store,2023-03-26,Inquiry
1871,19,Female,City_C,Product_1,311.43,2022-09-13,4,Silver,4,214.39,Online Transfer,Online Ad,2023-01-13,Complaint
1872,49,Female,City_A,Product_1,921.65,2023-02-21,1,Gold,9,3748.7,Cash,In-Store,2022-10-21,Complaint
1873,30,Female,City_A,Product_1,398.31,2023-06-04,5,Silver,13,1962.0,Cash,In-Store,2023-05-24,Inquiry
1874,63,Female,City_D,Product_1,58.69,2022-08-30,1,Gold,5,2174.28,Cash,Referral,2023-07-02,Feedback
1875,44,Female,City_D,Product_3,612.55,2022-08-14,2,Bronze,19,3124.16,Online Transfer,Referral,2022-11-14,Inquiry
1876,66,Female,City_B,Product_1,385.95,2022-08-23,4,Silver,14,2305.33,Online Transfer,Online Ad,2022-09-09,Complaint
1877,58,Female,City_D,Product_1,977.17,2022-11-12,1,Silver,13,5820.14,Cash,In-Store,2023-05-11,Inquiry
1878,34,Male,City_A,Product_1,417.38,2023-06-22,1,Gold,11,2279.98,Online Transfer,Referral,2023-07-02,Feedback
1879,57,Male,City_B,Product_3,348.74,2022-09-12,2,Bronze,19,6649.79,Credit Card,In-Store,2022-10-20,Complaint
1880,48,Female,City_A,Product_4,588.07,2022-08-30,2,Gold,7,1474.66,Credit Card,Online Ad,2023-05-29,Feedback
1881,51,Male,City_E,Product_2,743.39,2023-01-04,1,Silver,7,2055.09,Online Transfer,Online Ad,2023-02-22,Inquiry
1882,41,Female,City_E,Product_5,968.19,2022-11-21,1,Gold,11,4365.41,Credit Card,Online Ad,2022-10-22,Complaint
1883,62,Male,City_B,Product_2,116.13,2023-02-04,3,Gold,12,5559.79,Online Transfer,In-Store,2023-01-17,Complaint
1884,52,Male,City_C,Product_3,448.53,2023-07-30,4,Bronze,11,3776.51,Credit Card,Online Ad,2022-12-18,Complaint
1885,65,Male,City_D,Product_1,680.49,2023-02-04,2,Silver,6,1328.02,Cash,In-Store,2022-10-08,Feedback
1886,23,Female,City_B,Product_3,54.72,2023-03-03,5,Gold,13,2955.32,Cash,Online Ad,2023-07-19,Complaint
1887,36,Female,City_D,Product_4,514.58,2023-05-08,5,Bronze,12,1442.83,Credit Card,Referral,2022-10-27,Feedback
1888,47,Female,City_A,Product_5,816.21,2023-04-21,2,Silver,8,2435.72,Online Transfer,Online Ad,2022-10-10,Feedback
1889,24,Female,City_C,Product_4,98.33,2023-02-15,4,Bronze,11,4719.11,Cash,Online Ad,2022-11-08,Inquiry
1890,27,Male,City_D,Product_1,373.52,2022-12-03,5,Bronze,17,1845.76,Online Transfer,Online Ad,2022-08-24,Complaint
1891,58,Female,City_E,Product_3,430.87,2023-05-02,3,Bronze,18,3014.28,Credit Card,Online Ad,2023-03-24,Inquiry
1892,49,Male,City_E,Product_3,730.47,2023-04-15,2,Silver,4,234.86,Credit Card,Online Ad,2023-04-10,Complaint
1893,51,Female,City_A,Product_1,330.93,2023-05-30,5,Silver,5,1433.67,Cash,In-Store,2022-12-31,Complaint
1894,45,Male,City_B,Product_1,283.95,2023-05-21,5,Bronze,4,304.73,Cash,Referral,2022-09-23,Complaint
1895,32,Male,City_D,Product_5,159.73,2023-06-30,2,Silver,9,2795.56,Online Transfer,In-Store,2022-10-01,Inquiry
1896,47,Male,City_A,Product_4,996.09,2023-03-10,4,Bronze,12,2134.94,Online Transfer,Referral,2022-11-04,Complaint
1897,54,Male,City_E,Product_1,498.08,2023-06-18,2,Bronze,14,5757.1,Cash,Online Ad,2023-03-14,Complaint
1898,46,Female,City_E,Product_1,95.8,2022-11-22,1,Gold,13,3778.94,Cash,Referral,2022-11-02,Inquiry
1899,39,Female,City_E,Product_4,122.71,2022-11-05,5,Silver,6,1600.19,Credit Card,Online Ad,2023-07-31,Complaint
1900,21,Male,City_C,Product_1,171.56,2022-11-12,1,Bronze,4,616.94,Online Transfer,Referral,2023-05-19,Complaint
1901,37,Female,City_C,Product_5,251.16,2023-07-20,4,Bronze,10,4665.46,Credit Card,Online Ad,2023-06-05,Feedback
1902,49,Female,City_E,Product_5,753.4,2022-09-04,1,Gold,16,7656.6,Cash,In-Store,2023-07-20,Inquiry
1903,53,Male,City_B,Product_4,580.75,2023-02-17,4,Gold,11,4282.92,Credit Card,Online Ad,2023-02-20,Complaint
1904,67,Female,City_C,Product_2,787.83,2022-09-26,2,Bronze,3,563.47,Cash,Referral,2023-07-22,Feedback
1905,21,Female,City_D,Product_5,68.83,2023-06-02,3,Bronze,11,4452.48,Cash,Referral,2022-10-03,Inquiry
1906,44,Female,City_C,Product_3,301.86,2022-10-07,3,Gold,10,3759.13,Online Transfer,In-Store,2022-08-19,Inquiry
1907,34,Male,City_D,Product_3,435.25,2023-01-28,2,Gold,13,1887.3,Online Transfer,Online Ad,2023-04-13,Complaint
1908,29,Female,City_C,Product_2,457.56,2023-05-22,5,Silver,10,867.21,Credit Card,Referral,2022-09-03,Feedback
1909,39,Male,City_E,Product_5,100.88,2023-05-17,4,Gold,12,1642.3,Cash,Referral,2022-11-04,Complaint
1910,34,Male,City_D,Product_1,535.94,2023-05-08,1,Silver,5,2200.34,Online Transfer,In-Store,2022-12-30,Feedback
1911,27,Male,City_B,Product_2,322.29,2022-08-19,3,Gold,15,1805.83,Cash,Online Ad,2022-10-06,Feedback
1912,18,Female,City_C,Product_1,231.9,2022-09-23,1,Bronze,10,4064.31,Cash,Online Ad,2022-08-19,Complaint
1913,39,Female,City_C,Product_3,687.6,2023-05-16,1,Silver,11,2126.34,Online Transfer,In-Store,2023-04-02,Feedback
1914,43,Female,City_E,Product_2,129.66,2022-12-27,1,Silver,2,751.13,Cash,In-Store,2022-11-22,Inquiry
1915,35,Male,City_D,Product_5,873.66,2023-07-17,5,Bronze,17,7730.79,Online Transfer,In-Store,2023-03-12,Complaint
1916,67,Female,City_E,Product_3,904.83,2023-01-10,3,Bronze,11,4451.27,Online Transfer,Referral,2022-09-11,Feedback
1917,31,Male,City_D,Product_5,359.26,2023-02-03,1,Gold,13,3793.72,Cash,Referral,2023-06-03,Complaint
1918,64,Female,City_C,Product_1,987.55,2022-08-27,1,Silver,8,417.49,Online Transfer,In-Store,2023-03-09,Feedback
1919,46,Male,City_C,Product_5,431.2,2023-04-09,3,Bronze,2,224.05,Online Transfer,Online Ad,2022-10-02,Feedback
1920,29,Female,City_C,Product_2,964.2,2022-12-24,1,Silver,9,3622.89,Credit Card,In-Store,2023-02-17,Feedback
1921,53,Female,City_C,Product_1,987.53,2022-09-30,4,Silver,18,1687.03,Online Transfer,Online Ad,2022-09-30,Feedback
1922,52,Female,City_A,Product_2,835.56,2023-03-16,3,Gold,16,7806.79,Online Transfer,Online Ad,2022-11-19,Feedback
1923,69,Male,City_C,Product_1,168.59,2022-12-22,1,Silver,18,8759.32,Online Transfer,In-Store,2022-10-29,Complaint
1924,29,Male,City_C,Product_2,605.2,2023-04-11,5,Gold,12,2187.19,Cash,Online Ad,2022-09-20,Complaint
1925,24,Female,City_D,Product_3,745.32,2022-11-08,4,Silver,9,588.48,Credit Card,In-Store,2023-07-06,Feedback
1926,46,Male,City_C,Product_2,123.59,2023-04-08,2,Silver,19,7335.84,Credit Card,Online Ad,2022-09-11,Inquiry
1927,28,Male,City_C,Product_3,898.96,2023-03-03,5,Silver,16,2176.34,Online Transfer,Referral,2023-06-26,Feedback
1928,50,Male,City_D,Product_4,859.21,2022-12-11,2,Gold,9,3420.15,Credit Card,Online Ad,2023-03-16,Complaint
1929,23,Female,City_C,Product_5,937.16,2023-05-01,2,Gold,5,1003.66,Online Transfer,Online Ad,2023-02-12,Complaint
1930,64,Female,City_C,Product_1,538.58,2023-02-01,1,Silver,19,4137.38,Online Transfer,In-Store,2022-12-20,Complaint
1931,32,Female,City_E,Product_5,358.09,2022-08-26,4,Bronze,15,4806.3,Online Transfer,Online Ad,2022-09-22,Inquiry
1932,49,Male,City_A,Product_3,531.03,2022-10-20,1,Bronze,4,495.01,Credit Card,Online Ad,2022-11-02,Inquiry
1933,68,Female,City_D,Product_3,742.89,2022-12-26,5,Bronze,8,3890.2,Credit Card,Referral,2022-11-22,Inquiry
1934,28,Male,City_E,Product_3,445.39,2022-12-15,2,Bronze,16,1112.22,Online Transfer,In-Store,2022-12-17,Complaint
1935,40,Male,City_B,Product_2,384.17,2023-03-17,1,Bronze,12,5718.27,Credit Card,Online Ad,2023-07-21,Complaint
1936,43,Female,City_B,Product_5,123.2,2023-01-25,5,Silver,3,553.07,Credit Card,Online Ad,2022-08-18,Complaint
1937,51,Female,City_A,Product_3,474.87,2022-11-24,5,Bronze,9,3149.12,Online Transfer,In-Store,2022-09-07,Complaint
1938,63,Female,City_B,Product_4,423.25,2022-11-11,2,Bronze,16,7985.43,Online Transfer,In-Store,2022-12-26,Feedback
1939,51,Male,City_A,Product_3,680.13,2023-01-06,1,Silver,15,2349.6,Cash,In-Store,2023-06-23,Inquiry
1940,46,Male,City_B,Product_5,466.81,2023-05-18,4,Bronze,3,791.52,Online Transfer,In-Store,2023-02-07,Feedback
1941,21,Female,City_B,Product_3,53.84,2023-04-28,5,Gold,5,302.88,Online Transfer,Referral,2023-05-09,Inquiry
1942,34,Male,City_E,Product_3,510.14,2022-10-03,1,Bronze,8,1173.09,Cash,In-Store,2023-04-10,Feedback
1943,52,Female,City_B,Product_1,785.03,2023-05-30,4,Bronze,7,786.8,Online Transfer,Referral,2022-11-03,Feedback
1944,30,Female,City_A,Product_3,948.04,2023-04-02,2,Silver,13,5061.89,Credit Card,Online Ad,2023-01-15,Feedback
1945,58,Female,City_C,Product_5,233.31,2023-07-13,4,Gold,16,5784.39,Credit Card,In-Store,2022-12-22,Complaint
1946,56,Female,City_C,Product_1,451.41,2022-09-14,2,Silver,11,2969.8,Credit Card,In-Store,2023-01-21,Feedback
1947,32,Female,City_C,Product_1,855.09,2022-12-05,5,Gold,14,711.04,Credit Card,In-Store,2022-12-07,Complaint
1948,46,Female,City_A,Product_3,90.7,2023-01-30,3,Silver,7,998.15,Cash,Referral,2023-04-30,Complaint
1949,46,Male,City_A,Product_3,382.4,2022-10-29,3,Silver,8,2835.09,Credit Card,Online Ad,2022-11-05,Feedback
1950,28,Male,City_C,Product_4,611.53,2023-06-17,5,Gold,9,504.11,Cash,Online Ad,2022-09-06,Complaint
1951,69,Female,City_B,Product_5,375.39,2022-08-09,4,Gold,13,4058.71,Cash,Referral,2023-05-05,Feedback
1952,49,Female,City_C,Product_5,514.92,2022-11-17,3,Gold,4,489.72,Online Transfer,Referral,2023-07-26,Inquiry
1953,19,Male,City_D,Product_2,942.15,2023-06-06,2,Gold,4,1247.62,Online Transfer,Online Ad,2022-09-27,Inquiry
1954,64,Male,City_A,Product_2,72.73,2023-03-16,5,Bronze,6,2435.44,Credit Card,Online Ad,2022-12-20,Complaint
1955,31,Female,City_D,Product_5,124.02,2023-06-27,1,Bronze,12,5320.86,Cash,Online Ad,2023-03-21,Feedback
1956,37,Female,City_D,Product_3,237.11,2023-05-18,3,Bronze,7,1712.09,Cash,Referral,2023-01-26,Complaint
1957,39,Male,City_A,Product_1,415.65,2023-03-22,4,Gold,11,3537.02,Cash,In-Store,2023-06-30,Feedback
1958,28,Female,City_C,Product_4,497.25,2022-12-21,5,Bronze,4,1159.75,Online Transfer,Referral,2022-09-28,Feedback
1959,44,Male,City_E,Product_3,84.84,2022-11-19,3,Bronze,18,5273.53,Credit Card,Online Ad,2023-07-07,Complaint
1960,20,Female,City_D,Product_1,888.44,2023-05-25,3,Bronze,7,1566.47,Online Transfer,Referral,2022-09-21,Complaint
1961,34,Male,City_C,Product_5,770.66,2022-12-28,5,Bronze,7,2835.96,Online Transfer,Online Ad,2022-09-03,Complaint
1962,61,Female,City_E,Product_3,304.61,2023-06-23,1,Gold,15,3032.93,Credit Card,Referral,2022-12-15,Feedback
1963,45,Female,City_D,Product_4,293.93,2023-04-17,5,Silver,14,4430.83,Credit Card,In-Store,2022-11-28,Complaint
1964,46,Female,City_C,Product_2,74.31,2022-12-21,1,Gold,15,3825.28,Cash,Online Ad,2022-09-30,Complaint
1965,38,Male,City_D,Product_1,429.18,2023-02-11,5,Silver,9,1839.37,Cash,Referral,2022-11-09,Feedback
1966,64,Female,City_C,Product_3,291.76,2023-07-26,2,Gold,9,1929.25,Online Transfer,In-Store,2022-11-29,Feedback
1967,33,Male,City_B,Product_4,637.5,2023-01-08,2,Gold,12,2939.88,Credit Card,Online Ad,2023-01-24,Inquiry
1968,54,Male,City_B,Product_3,570.49,2023-07-12,5,Bronze,8,1868.04,Credit Card,In-Store,2022-11-04,Complaint
1969,37,Male,City_A,Product_5,959.28,2023-01-18,1,Bronze,18,6641.03,Cash,In-Store,2023-05-24,Inquiry
1970,23,Male,City_E,Product_1,805.48,2022-11-24,3,Gold,15,4560.77,Online Transfer,Referral,2022-09-23,Feedback
1971,36,Female,City_D,Product_5,126.82,2023-01-29,5,Bronze,2,559.61,Cash,In-Store,2022-10-18,Inquiry
1972,22,Female,City_D,Product_5,719.07,2023-04-10,3,Silver,11,1398.5,Online Transfer,In-Store,2022-12-28,Complaint
1973,20,Female,City_C,Product_2,151.76,2023-01-23,5,Silver,13,3407.28,Credit Card,Referral,2022-11-23,Complaint
1974,18,Male,City_E,Product_5,356.93,2023-06-28,4,Bronze,7,1873.64,Cash,In-Store,2022-11-27,Inquiry
1975,55,Female,City_D,Product_4,577.27,2023-01-29,1,Bronze,8,2946.89,Cash,Referral,2023-05-22,Complaint
1976,32,Male,City_E,Product_1,520.93,2023-04-16,4,Gold,6,1480.74,Online Transfer,Referral,2023-06-03,Complaint
1977,51,Male,City_E,Product_2,708.67,2023-07-25,4,Gold,3,851.4,Cash,Referral,2023-02-26,Complaint
1978,52,Male,City_B,Product_3,819.53,2023-02-26,1,Gold,1,230.36,Online Transfer,Online Ad,2022-11-17,Feedback
1979,66,Female,City_D,Product_5,837.92,2023-06-19,5,Bronze,14,6864.35,Credit Card,In-Store,2022-10-17,Complaint
1980,42,Male,City_D,Product_3,105.42,2022-08-08,1,Bronze,1,435.1,Online Transfer,Referral,2023-04-30,Feedback
1981,41,Female,City_A,Product_2,659.57,2022-09-10,1,Gold,8,555.54,Credit Card,In-Store,2022-11-29,Feedback
1982,29,Female,City_E,Product_3,963.31,2023-02-18,2,Bronze,19,8282.36,Online Transfer,Online Ad,2023-07-20,Feedback
1983,35,Female,City_C,Product_4,767.27,2023-05-26,2,Silver,16,3423.81,Online Transfer,Online Ad,2022-09-13,Inquiry
1984,32,Male,City_B,Product_2,543.91,2023-05-30,3,Silver,6,1198.4,Cash,Referral,2022-11-09,Complaint
1985,61,Female,City_A,Product_1,998.61,2023-07-20,1,Silver,9,836.39,Online Transfer,Referral,2023-02-27,Inquiry
1986,33,Male,City_B,Product_1,91.78,2023-03-15,4,Gold,6,2746.87,Credit Card,Referral,2022-08-25,Feedback
1987,44,Male,City_C,Product_1,133.75,2022-12-10,4,Gold,3,1334.35,Online Transfer,In-Store,2022-11-13,Feedback
1988,25,Male,City_A,Product_1,779.73,2022-08-17,2,Silver,6,2823.94,Cash,Online Ad,2023-08-08,Complaint
1989,63,Male,City_B,Product_2,572.26,2023-05-29,1,Silver,10,3969.65,Online Transfer,In-Store,2023-01-16,Feedback
1990,42,Female,City_C,Product_2,168.2,2022-08-12,5,Silver,13,1269.13,Online Transfer,In-Store,2022-09-13,Complaint
1991,34,Female,City_A,Product_2,406.55,2022-12-11,2,Bronze,1,62.01,Online Transfer,Referral,2023-05-05,Inquiry
1992,46,Female,City_C,Product_5,111.07,2022-12-22,2,Silver,16,7353.87,Online Transfer,Referral,2022-08-24,Feedback
1993,25,Female,City_A,Product_2,550.1,2022-09-27,4,Silver,12,3566.45,Cash,Online Ad,2022-09-22,Feedback
1994,32,Male,City_D,Product_2,148.87,2023-08-06,5,Gold,13,2040.41,Online Transfer,Online Ad,2023-04-09,Inquiry
1995,44,Male,City_D,Product_2,56.55,2023-06-29,5,Gold,14,1247.56,Cash,Online Ad,2023-02-01,Inquiry
1996,63,Male,City_B,Product_1,356.3,2023-07-30,4,Bronze,11,1270.62,Online Transfer,In-Store,2023-07-13,Feedback
1997,67,Male,City_E,Product_4,272.17,2023-03-30,4,Silver,14,1691.5,Credit Card,In-Store,2022-08-17,Complaint
1998,69,Female,City_E,Product_1,393.99,2023-04-20,4,Gold,8,2703.71,Credit Card,In-Store,2023-03-24,Feedback
1999,24,Female,City_C,Product_4,382.93,2023-05-24,5,Bronze,9,1490.14,Credit Card,In-Store,2023-07-24,Complaint
2000,20,Male,City_A,Product_4,648.51,2022-11-01,5,Bronze,13,2439.12,Online Transfer,In-Store,2022-09-03,Feedback
2001,46,Male,City_D,Product_4,696.01,2022-10-01,2,Bronze,14,4471.71,Credit Card,Online Ad,2023-02-05,Complaint
2002,61,Male,City_E,Product_1,170.99,2022-11-11,3,Gold,15,6084.34,Cash,In-Store,2023-01-21,Inquiry
2003,41,Male,City_D,Product_5,514.23,2023-01-04,2,Silver,5,1151.77,Credit Card,In-Store,2023-01-25,Complaint
2004,20,Female,City_C,Product_3,894.69,2023-06-13,1,Silver,7,471.67,Online Transfer,Referral,2022-09-25,Complaint
2005,37,Male,City_C,Product_5,190.99,2023-03-14,3,Silver,13,4467.11,Cash,Online Ad,2023-02-20,Inquiry
2006,63,Female,City_A,Product_1,968.53,2023-04-09,5,Bronze,3,1074.28,Online Transfer,Referral,2022-08-22,Inquiry
2007,32,Female,City_E,Product_4,68.38,2023-03-07,2,Gold,1,201.41,Online Transfer,Online Ad,2022-12-18,Complaint
2008,42,Male,City_C,Product_3,144.73,2023-06-07,5,Gold,19,960.45,Credit Card,Referral,2022-10-21,Inquiry
2009,47,Male,City_C,Product_5,218.7,2023-07-15,3,Silver,2,614.51,Credit Card,Online Ad,2023-07-20,Inquiry
2010,31,Female,City_D,Product_2,496.3,2023-04-08,5,Bronze,16,6379.81,Online Transfer,Referral,2023-07-24,Complaint
2011,24,Female,City_B,Product_5,334.19,2023-01-06,2,Silver,18,2676.07,Online Transfer,Referral,2022-08-29,Feedback
2012,34,Male,City_E,Product_1,447.26,2022-09-15,3,Silver,5,1403.52,Cash,Referral,2023-06-06,Complaint
2013,61,Female,City_A,Product_3,943.77,2022-09-24,2,Bronze,6,2183.38,Credit Card,In-Store,2023-05-15,Inquiry
2014,37,Male,City_A,Product_2,374.31,2022-12-17,2,Silver,17,5356.48,Credit Card,In-Store,2023-03-18,Complaint
2015,53,Male,City_D,Product_3,855.71,2023-07-07,5,Bronze,18,7147.32,Cash,Referral,2022-11-04,Feedback
2016,26,Female,City_A,Product_3,119.17,2023-06-13,3,Gold,4,934.62,Credit Card,Online Ad,2023-05-10,Complaint
2017,55,Female,City_C,Product_5,821.35,2022-11-26,5,Bronze,9,3973.97,Online Transfer,Online Ad,2023-02-14,Inquiry
2018,65,Male,City_E,Product_4,906.48,2022-10-07,3,Gold,6,1159.67,Credit Card,In-Store,2023-01-29,Inquiry
2019,39,Male,City_A,Product_5,320.75,2022-11-07,1,Silver,18,2148.81,Cash,Referral,2023-03-24,Complaint
2020,19,Female,City_E,Product_2,569.74,2023-07-31,1,Silver,17,6850.01,Credit Card,Online Ad,2023-04-02,Inquiry
2021,41,Female,City_A,Product_1,227.8,2022-09-19,3,Silver,1,54.58,Cash,Referral,2023-05-07,Inquiry
2022,25,Female,City_B,Product_5,136.31,2022-11-18,5,Bronze,2,955.83,Online Transfer,Online Ad,2022-11-13,Complaint
2023,28,Female,City_B,Product_4,781.88,2022-10-18,4,Bronze,2,166.31,Credit Card,In-Store,2023-01-19,Complaint
2024,30,Male,City_E,Product_4,648.34,2023-04-07,3,Gold,12,4853.59,Credit Card,In-Store,2022-12-16,Inquiry
2025,34,Male,City_B,Product_5,764.63,2023-05-27,2,Silver,7,731.26,Online Transfer,In-Store,2022-10-09,Feedback
2026,25,Male,City_B,Product_2,467.7,2023-03-12,1,Bronze,19,3349.34,Cash,Online Ad,2023-01-19,Feedback
2027,38,Female,City_C,Product_4,287.13,2023-01-01,3,Silver,6,1922.5,Online Transfer,Referral,2023-04-30,Inquiry
2028,35,Female,City_A,Product_4,455.51,2023-08-08,3,Silver,15,1696.24,Credit Card,In-Store,2023-05-29,Inquiry
2029,47,Male,City_B,Product_2,111.55,2022-09-28,3,Silver,15,1406.86,Credit Card,Referral,2023-02-09,Inquiry
2030,35,Female,City_E,Product_2,319.35,2023-02-09,2,Silver,13,6099.74,Online Transfer,In-Store,2022-09-29,Feedback
2031,63,Female,City_C,Product_2,332.65,2023-04-07,5,Gold,13,4863.75,Online Transfer,Referral,2023-03-11,Inquiry
2032,64,Female,City_B,Product_2,728.8,2022-10-20,4,Gold,15,1559.24,Cash,Online Ad,2023-05-05,Complaint
2033,48,Female,City_E,Product_5,100.48,2023-01-07,2,Bronze,10,2835.94,Credit Card,In-Store,2022-09-16,Complaint
2034,55,Female,City_A,Product_5,283.01,2023-05-05,4,Bronze,15,6385.12,Online Transfer,In-Store,2023-04-04,Complaint
2035,49,Female,City_B,Product_3,312.78,2022-09-02,1,Bronze,1,89.16,Credit Card,Online Ad,2022-09-18,Feedback
2036,28,Male,City_E,Product_3,573.79,2022-08-31,4,Gold,7,2903.74,Online Transfer,In-Store,2023-06-01,Complaint
2037,62,Male,City_E,Product_3,282.46,2023-06-26,4,Silver,15,6439.21,Credit Card,Online Ad,2022-08-24,Feedback
2038,42,Male,City_D,Product_4,175.81,2022-11-13,1,Gold,3,611.09,Cash,Referral,2022-11-09,Inquiry
2039,50,Male,City_E,Product_2,295.08,2023-02-05,2,Bronze,12,5976.0,Cash,In-Store,2022-10-18,Feedback
2040,55,Female,City_D,Product_5,450.79,2023-07-05,2,Gold,5,1133.77,Online Transfer,Online Ad,2023-03-24,Inquiry
2041,58,Male,City_A,Product_5,549.2,2022-11-12,1,Silver,3,1368.07,Cash,Referral,2023-01-20,Feedback
2042,25,Male,City_A,Product_2,84.74,2022-11-03,2,Silver,4,1816.29,Cash,Referral,2023-04-17,Inquiry
2043,28,Male,City_C,Product_3,344.32,2022-11-22,5,Silver,10,3710.57,Online Transfer,Online Ad,2023-05-01,Complaint
2044,39,Male,City_D,Product_4,775.96,2022-11-22,4,Silver,11,554.18,Credit Card,Online Ad,2022-11-02,Inquiry
2045,68,Female,City_E,Product_5,617.74,2022-10-29,2,Gold,16,5715.93,Cash,In-Store,2022-10-19,Inquiry
2046,41,Female,City_C,Product_1,483.24,2023-07-29,4,Silver,9,832.26,Online Transfer,Referral,2023-06-17,Complaint
2047,58,Male,City_C,Product_4,480.32,2023-01-21,2,Silver,13,861.31,Cash,Referral,2023-02-15,Feedback
2048,34,Male,City_A,Product_4,400.45,2022-12-11,4,Silver,5,656.06,Cash,In-Store,2023-01-13,Feedback
2049,29,Female,City_E,Product_3,374.94,2023-07-17,1,Bronze,9,2520.99,Cash,Online Ad,2023-05-16,Complaint
2050,63,Female,City_D,Product_2,430.6,2022-09-17,1,Bronze,9,2314.69,Cash,Referral,2023-03-28,Inquiry
2051,49,Male,City_A,Product_1,875.75,2023-01-22,1,Gold,10,2252.72,Credit Card,Online Ad,2023-06-29,Inquiry
2052,32,Female,City_C,Product_3,495.39,2023-01-29,5,Silver,14,4069.32,Credit Card,Online Ad,2022-08-23,Inquiry
2053,33,Female,City_B,Product_2,685.81,2023-04-01,5,Bronze,13,2198.67,Cash,Referral,2022-08-25,Feedback
2054,39,Male,City_C,Product_1,817.46,2023-07-31,1,Bronze,12,2290.27,Credit Card,Online Ad,2023-02-22,Feedback
2055,45,Female,City_B,Product_5,460.37,2023-02-07,4,Bronze,8,1151.68,Cash,In-Store,2023-05-05,Inquiry
2056,37,Male,City_A,Product_1,847.21,2023-07-05,1,Silver,3,760.59,Credit Card,Online Ad,2022-11-09,Inquiry
2057,50,Male,City_D,Product_3,993.05,2023-02-13,1,Gold,17,6314.05,Cash,Online Ad,2023-02-17,Inquiry
2058,27,Female,City_E,Product_1,528.95,2023-04-07,3,Bronze,13,3643.14,Credit Card,In-Store,2022-12-04,Feedback
2059,57,Female,City_B,Product_1,432.61,2022-09-06,5,Gold,10,4330.59,Cash,Online Ad,2023-05-09,Complaint
